               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.039789,            0.013837,                   0,             0.69035,              0.5625,             0.56925,             0.27999,            0.045679,            0.013477,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.039972,            0.015228,                   0,             0.61438,             0.64743,              0.5632,             0.35857,            0.039412,            0.013615,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.041002,            0.014311,                   0,             0.72406,              0.5625,             0.53897,             0.23443,            0.045068,            0.014493,                   0,             0.00868,             0.00868,             0.00868
                  42,             0.03914,            0.013887,                   0,             0.63326,             0.65625,             0.56382,             0.29103,            0.042863,             0.01368,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.038408,            0.013462,                   0,             0.60728,             0.65625,             0.57795,              0.3392,            0.041403,            0.013312,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.037352,            0.013428,                   0,             0.59848,             0.65222,             0.58865,             0.34786,            0.042685,            0.013169,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.038949,             0.01412,                   0,             0.62909,             0.59375,             0.56397,             0.32999,            0.042949,            0.013329,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.038132,            0.013695,                   0,             0.59219,             0.63551,             0.55494,             0.31948,            0.043168,            0.013134,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.037854,            0.015364,                   0,             0.65328,             0.71875,             0.56466,             0.30755,            0.043215,            0.013502,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.039672,            0.014252,                   0,              0.6145,             0.59789,             0.50174,             0.26484,             0.04691,            0.013886,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.041069,            0.013826,                   0,             0.68676,               0.625,             0.56963,             0.32249,            0.045443,            0.012907,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.038448,            0.013382,                   0,             0.66226,             0.59375,             0.57865,             0.31314,             0.04359,            0.013504,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.038138,            0.012862,                   0,             0.68259,             0.60507,             0.55964,             0.35837,            0.042711,            0.012813,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.040059,            0.013469,                   0,             0.65303,             0.65625,             0.59841,             0.35251,             0.04011,            0.012142,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.038272,            0.013818,                   0,             0.63333,             0.59374,             0.56196,             0.34482,             0.04069,            0.014357,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.036699,            0.014485,                   0,              0.6551,              0.5625,             0.57707,             0.34055,            0.040504,            0.013967,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.037907,            0.013281,                   0,             0.56643,                 0.5,             0.45183,              0.2498,            0.043997,            0.015728,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.036709,            0.012534,                   0,             0.77147,             0.52761,             0.57257,             0.31966,            0.040959,             0.01412,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.038369,            0.013241,                   0,             0.69662,             0.53125,             0.55876,             0.33697,            0.040628,            0.014428,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.035488,            0.012543,                   0,             0.67945,              0.5625,             0.57204,             0.33273,            0.038543,            0.014621,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.034946,            0.013144,                   0,             0.67018,              0.5625,             0.55338,             0.36018,            0.038461,            0.015155,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.036091,            0.012588,                   0,             0.72704,               0.625,             0.58505,             0.36321,            0.040534,            0.012661,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.038942,            0.013392,                   0,             0.77846,             0.59375,              0.5831,             0.33785,             0.04166,            0.013014,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.034651,            0.012983,                   0,               0.624,             0.65625,              0.5848,             0.36969,            0.041704,            0.012801,                   0,            0.007987,            0.007987,            0.007987
                  63,             0.03671,            0.011779,                   0,             0.64844,             0.63425,             0.56842,             0.34579,            0.039812,            0.013698,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.034538,            0.012384,                   0,             0.70273,             0.59109,             0.53931,             0.34058,            0.040688,            0.015187,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.036576,            0.012706,                   0,             0.69152,             0.56051,             0.48876,              0.3181,            0.043523,            0.017088,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.035931,            0.013283,                   0,             0.75843,             0.58884,             0.54961,             0.32024,            0.042271,            0.015335,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.034744,            0.012621,                   0,             0.60874,               0.625,             0.51868,             0.32558,            0.040539,            0.013936,                   0,            0.007822,            0.007822,            0.007822
